"","gbifid_","family_","genus_","species_","infraspecificepithet_","taxonrank_","scientificname_","verbatimscientificname_","province_","count_","latitude_","longitude_","date_"
"1",1457649009,"Halictidae","","Halictidae gen. sp.","","FAMILY","Halictidae","Halictidae","Utah",NA,40.76083,-111.89028,1923-01-01
"2",3096063036,"Andrenidae","","Andrenidae gen. sp.","","FAMILY","Andrenidae","Panurginae","Utah",NA,40.746266,-111.861441,1923-01-01
"3",3096062677,"Megachilidae","","Megachilidae gen. sp.","","FAMILY","Megachilidae","Megachilidae","Utah",NA,40.746266,-111.861441,1923-01-01
"4",890714160,"Megachilidae","","Megachilidae gen. sp.","","FAMILY","Megachilidae","Undetermined","Iowa",NA,42.03472,-93.61972,1923-04-12
"5",3801843018,"Halictidae","","Halictidae gen. sp.","","FAMILY","Halictidae","Halictidae Thomson, 1869","Texas",1,28.02028,-97.05417,1923-05-22
"6",1457649866,"Apidae","Apidae","Apidae sp.","","FAMILY","Apidae","Apidae","Utah",NA,39.5575,-111.65528,1923-08-10
"7",4062292315,"Andrenidae","","Andrenidae gen. sp.","","FAMILY","Andrenidae","Andrenidae sp. Fabricius 1775","Massachusetts",1,42.29664,-71.11182,1923-09-12
"8",1437761325,"Andrenidae","","Andrenidae gen. sp.","","FAMILY","Andrenidae","Andrenidae","Ohio",1,41.3931,-81.5367,1924-05-02
"9",3801351210,"Megachilidae","","Megachilidae gen. sp.","","FAMILY","Megachilidae","Megachilidae Latreille, 1802","Illinois",1,40.111,-88.207,1924-06-01
"10",4174799331,"Megachilidae","","Megachilidae gen. sp.","","FAMILY","Megachilidae","Megachilidae sp.","Florida",1,25.78601,-80.22765,1924-06-14
"11",2563067173,"Apidae","","Apidae gen. sp.","","FAMILY","Apidae","R.I. Velez-Ruiz","South Dakota",NA,43.300815,-96.59282,1924-06-16
"12",3801831378,"Andrenidae","","Andrenidae gen. sp.","","FAMILY","Andrenidae","Andrenidae Latreille, 1802","California",1,34.22417,-118.23917,1924-06-23
"13",1141875787,"Apidae","","Apidae gen. sp.","","FAMILY","Apidae","Eucerini","Wisconsin",NA,43.0389,-87.9064,1925-05-16
"14",2451370682,"Megachilidae","Protosmia","P. rubifloris","","FAMILY","Megachilidae","Prostomia rubiflorus","California",NA,33.541568,-117.782562,1926-06-04
"15",890691540,"Apidae","","Apidae gen. sp.","","FAMILY","Apidae","Undetermined","Oklahoma",NA,NA,NA,1926-06-23
"16",657852437,"Andrenidae","","Andrenidae gen. sp.","","FAMILY","Andrenidae","Panurgini","Kansas",NA,38.9717,-95.235,1927-06-20
"17",2242544733,"Apidae","","Apidae gen. sp.","","FAMILY","Apidae","?","",NA,NA,NA,1928-05-02
"18",659108601,"Apidae","","Apidae gen. sp.","","FAMILY","Apidae","else","California",NA,33.95,-117.39,1928-05-03
"19",1932559150,"Melittidae","","Melittidae gen. sp.","","FAMILY","Melittidae","Melittidae","Utah",NA,39.198899,-111.57666,1928-06-13
"20",2614356334,"Apidae","","Apidae gen. sp.","","FAMILY","Anthophoridae","Anthophoridae","California",NA,34.0637,-118.356825,1929-01-01
"21",890713881,"Andrenidae","","Andrenidae gen. sp.","","FAMILY","Andrenidae","Undetermined","Oklahoma",NA,36.748545,-98.216321,1930-06-16
"22",890714154,"Halictidae","","Halictidae gen. sp.","","FAMILY","Halictidae","Undetermined","Oklahoma",NA,NA,NA,1930-07-01
"23",1457687903,"Colletidae","","Colletidae gen. sp.","","FAMILY","Colletidae","Colletidae","Utah",NA,38.926538,-111.826898,1930-08-29
"24",1417448882,"Halictidae","","Halictidae gen. sp.","","FAMILY","Halictidae","undetermined","Oklahoma",NA,NA,NA,1931-03-23
"25",2563069908,"Apidae","Melissodes","M. bimaculatus","","FAMILY","Apidae","Bimaculata","South Dakota",NA,44.311357,-96.798388,1931-10-01
"26",1457649869,"Apidae","","Apidae gen. sp.","","FAMILY","Apidae","Apinae","Utah",NA,41.709993,-112.015759,1932-05-02
"27",2451361338,"Andrenidae","Andrena","A. linseyi","","FAMILY","Andrenidae","Adrena linsleyi","California",NA,NA,NA,1934-02-25
"28",3988092345,"Colletidae","","Colletidae gen. sp.","","FAMILY","Colletidae","Colletidae sp. Lepeletier, 1841","California",1,33.91775,-116.63689,1934-10-27
"29",658765675,"Megachilidae","","Megachilidae gen. sp.","","FAMILY","Megachilidae","else","Utah",NA,41.73,-111.83,1935-06-09
"30",4122165349,"Apidae","Apidae","Apidae sp.","","FAMILY","Apidae","Apidae sp.","Massachusetts",1,41.34317,-70.74475,1936-08-24
"31",3128609203,"Halictidae","Augochloropsis","A. metallica","","FAMILY","Halictidae","Aug_opsis metallica","Indiana",NA,NA,NA,1937-06-22
"32",3128617847,"Halictidae","Augochlorella","A. aurata","","FAMILY","Halictidae","Aug_ella aurata","Indiana",NA,NA,NA,1937-07-28
