"","gbifid_","family_","genus_","species_","infraspecificepithet_","taxonrank_","scientificname_","verbatimscientificname_","province_","count_","latitude_","longitude_","date_"
"1",2592382534,"Apidae","Bombus","Bombus sp.","","GENUS","Bombus Latreille, 1802","Bombus","Utah",NA,37.3,-113.05,1923-01-01
"2",1457648864,"Halictidae","Agapostemon","Agapostemon sp.","","GENUS","Agapostemon Guérin-Méneville, 1844","Agapostemon","Utah",NA,40.76083,-111.888907,1923-01-01
"3",1224581155,"Halictidae","Agapostemon","Agapostemon sp.","","GENUS","Agapostemon Guérin-Méneville, 1844","Agapostemon californica","",NA,NA,NA,1923-03-01
"4",3756301519,"Andrenidae","Andrena","Andrena sp.","","GENUS","Andrena Fabricius, 1775","Andrena","North Carolina",1,35.7721,-78.6386,1923-03-22
"5",3756312037,"Megachilidae","Osmia","Osmia sp.","","GENUS","Osmia Panzer, 1806","Osmia","North Carolina",1,35.7721,-78.6386,1923-03-23
"6",3756337529,"Halictidae","Lasioglossum","Lasioglossum sp.","","GENUS","Lasioglossum Curtis, 1833","Lasioglossum","North Carolina",1,35.7721,-78.6386,1923-03-23
"7",1318813511,"Apidae","Bombus","Bombus sp.","","GENUS","Bombus Latreille, 1802","Bombus sp.","Virginia",1,38.9614,-77.1736,1923-04-01
"8",1092733232,"Apidae","Habropoda","Habropoda sp.","","GENUS","Habropoda Smith, 1854","Habropoda","California",NA,NA,NA,1923-04-09
"9",1318244566,"Halictidae","Halictus","Halictus sp.","","GENUS","Halictus Latreille, 1804","Halictus brycinci","North Carolina",1,35.4309,-83.4474,1923-04-14
"10",1092833564,"Apidae","Eucera","Eucera sp.","","GENUS","Synhalonia Robertson, 1905","Eucera (Synhalonia)","North Carolina",NA,NA,NA,1923-04-30
"11",658323209,"Apidae","Nomada","Nomada sp.","","GENUS","Nomada Scopoli, 1770","Nomada (erigeronis group) seneciophila","North Carolina",NA,35.4308,-83.4475,1923-04-30
"12",658139736,"Apidae","Nomada","Nomada sp.","","GENUS","Nomada Scopoli, 1770","Nomada (erigeronis group) articulata","North Carolina",NA,35.4308,-83.4475,1923-05-01
"13",785001691,"Halictidae","Sphecodes","Sphecodes sp.","","GENUS","Sphecodes Latreille, 1804","Sphecodes (Arctosphecodes)","Kansas",NA,NA,NA,1923-05-01
"14",4042040672,"Andrenidae","Calliopsis","Calliopsis sp.","","GENUS","Calliopsis Smith, 1853","Calliopsis","Mississippi",1,NA,NA,1923-05-07
"15",872715227,"Apidae","Bremus","Bremus sp.","","GENUS","Bremus Panzer, 1801","Bremus huntii","Utah",1,41.7356,-111.8336,1923-05-08
"16",1318486828,"Halictidae","Halictus","Halictus sp.","","GENUS","Halictus Latreille, 1804","Halictus halophitus","Florida",1,25.6272,-80.3208,1923-05-20
"17",3801865954,"Megachilidae","Megachile","Megachile sp.","","GENUS","Megachile Latreille, 1802","Megachile","Texas",1,28.02028,-97.05417,1923-05-22
"18",3801337394,"Apidae","Xylocopa","Xylocopa sp.","","GENUS","Xylocopa Latreille, 1802","Xylocopa","Texas",1,28.02028,-97.05417,1923-05-22
"19",872721451,"Halictidae","Halictus","Halictus sp.","","GENUS","Halictus Latreille, 1804","Halictus","Ohio",1,39.9611,-82.9989,1923-05-23
"20",1321506732,"Halictidae","Halictus","Halictus sp.","","GENUS","Halictus Latreille, 1804","Halictus brimleyi","North Carolina",1,35.4309,-83.4474,1923-05-24
"21",872715662,"Apidae","Bremus","Bremus sp.","","GENUS","Bremus Panzer, 1801","Bremus morrisoni","Idaho",1,42.0136,-111.8064,1923-05-24
"22",872715802,"Apidae","Bremus","Bremus sp.","","GENUS","Bremus Panzer, 1801","Bremus nevadensis","Idaho",1,42.0136,-111.8064,1923-05-24
"23",3756346062,"Apidae","Ceratina","Ceratina sp.","","GENUS","Ceratina Latreille, 1802","Ceratina","North Carolina",1,35.7721,-78.6386,1923-06-05
"24",894572995,"Apidae","Nomada","Nomada sp.","","GENUS","Nomada Scopoli, 1770","Nomada","Kansas",NA,NA,NA,1923-06-08
"25",657748984,"Andrenidae","Protandrena","Protandrena sp.","","GENUS","Protandrena Cockerell, 1896","Protandrena (Heterosarus) platycephalus","North Carolina",NA,35.4308,-83.4475,1923-06-08
"26",658124611,"Halictidae","Augochlorella","Augochlorella sp.","","GENUS","Augochlorella Sandhouse, 1937","Augochlorella striata form ""d""","Kansas",NA,NA,NA,1923-06-12
"27",658353376,"Halictidae","Augochloropsis","Augochloropsis sp.","","GENUS","Augochloropsis Cockerell, 1897","Augochloropsis","Kansas",NA,NA,NA,1923-06-14
"28",1061023163,"Halictidae","Sphecodes","Sphecodes sp.","","GENUS","Sphecodes Latreille, 1804","Sphecodes conifer Timberlake, MSS","California",1,37.7556,-119.53234,1923-06-17
"29",658132019,"Halictidae","Augochlorella","Augochlorella sp.","","GENUS","Augochlorella Sandhouse, 1937","Augochlorella striata form ""b""","Kansas",NA,NA,NA,1923-06-29
"30",856584078,"Megachilidae","Megachile","Megachile sp.","","GENUS","Megachile Latreille, 1802","Megachile (Litomegachile)","Michigan",NA,45.5811,-84.6969,1923-06-29
"31",894572086,"Apidae","Triepeolus","Triepeolus sp.","","GENUS","Triepeolus Robertson, 1901","Triepeolus","Kansas",NA,NA,NA,1923-07-16
"32",657746534,"Apidae","Nomada","Nomada sp.","","GENUS","Nomada Scopoli, 1770","Nomada (venaga group) texana","Kansas",NA,NA,NA,1923-07-16
"33",657750608,"Apidae","Nomada","Nomada sp.","","GENUS","Nomada Scopoli, 1770","Nomada (venaga group) fervida","North Carolina",NA,35.5533,-83.3086,1923-07-20
"34",659104103,"Megachilidae","Stelis","Stelis sp.","","GENUS","Stelis Panzer, 1806","Stelis incisa","California",NA,36.5643,-118.8134,1923-07-21
"35",4003230438,"Andrenidae","Andrena","Andrena sp.","","GENUS","Andrena Fabricius, 1775","Andrena sp. Fabricius 1775","Connecticut",1,42.00026,-73.08125,1923-07-21
"36",1320691844,"Halictidae","Halictus","Halictus sp.","","GENUS","Halictus Latreille, 1804","Halictus abanci","North Carolina",1,35.5418,-83.4932,1923-07-26
"37",1611926670,"Colletidae","Hylaeus","Hylaeus sp.","","GENUS","Hylaeus Fabricius, 1793","Hylaeus","Wyoming",1,44.63893,-110.84888,1923-07-27
"38",1427578466,"Megachilidae","Coelioxys","Coelioxys sp.","","GENUS","Coelioxys Latreille, 1809","Coelioxys","Ohio",1,41.3931,-81.5367,1923-07-30
"39",1065136664,"Apidae","Crustacea","Crustacea sp.","","GENUS","Crustacea","Crustacea","Florida",1,NA,NA,1923-08-03
"40",658149344,"Apidae","Holcopasites","Holcopasites sp.","","GENUS","Holcopasites Ashmead, 1899","Holcopasites robertsoni","North Dakota",NA,46.9181,-104.0039,1923-08-25
"41",2563070207,"Apidae","Melissodes","Melissodes sp.","","GENUS","Melissodes Latreille, 1829","Melissodes","South Dakota",NA,43.300815,-96.59282,1923-08-27
"42",657749834,"Halictidae","Sphecodes","Sphecodes sp.","","GENUS","Sphecodes Latreille, 1804","Sphecodes pynanthemi","North Carolina",NA,35.4308,-83.4475,1923-08-31
"43",2236579014,"Halictidae","Dialictus","Dialictus sp.","","GENUS","Dialictus Robertson, 1902","Dialictus","Virginia",1,37.27097,-79.941427,1923-10-08
"44",1142530880,"Halictidae","Agapostemon","Agapostemon sp.","","GENUS","Agapostemon Guérin-Méneville, 1844","Agapostemon Guérin-Méneville, 1844","Colorado",1,39.611279,-104.040798,1923-10-14
"45",3031254225,"Apidae","Eucera","Eucera sp.","","GENUS","Eucera Scopoli, 1770","Eucera","Utah",NA,37.154587,-113.628693,1924-01-01
"46",3801577618,"Apidae","Nomada","Nomada sp.","","GENUS","Nomada Scopoli, 1770","Nomada Scopoli, 1770","Texas",1,NA,NA,1924-03-06
"47",872716506,"Apidae","Bremus","Bremus sp.","","GENUS","Bremus Panzer, 1801","Bremus vosnesenskii","Oregon",1,44.5647,-123.2608,1924-04-05
"48",3801874364,"Megachilidae","Osmia","Osmia sp.","","GENUS","Osmia Panzer, 1806","Osmia Panzer, 1806","Illinois",1,40.11056,-88.20722,1924-05-01
"49",3801931914,"Colletidae","Colletes","Colletes sp.","","GENUS","Colletes Latreille, 1802","Colletes","Texas",1,NA,NA,1924-05-01
"50",3801346343,"Apidae","Ceratina","Ceratina sp.","","GENUS","Ceratina Latreille, 1802","Ceratina Latreille, 1802","Illinois",1,40.111,-88.207,1924-05-04
"51",3801865902,"Megachilidae","Heriades","Heriades sp.","","GENUS","Heriades Spinola, 1808","Heriades","Illinois",1,40.111,-88.207,1924-05-04
"52",3801348944,"Megachilidae","Hoplitis","Hoplitis sp.","","GENUS","Hoplitis Klug, 1807","Hoplitis","Illinois",1,40.11056,-88.20722,1924-06-01
"53",3801828441,"Halictidae","Sphecodes","Sphecodes sp.","","GENUS","Sphecodes Latreille, 1804","Sphecodes","Illinois",1,40.082985,-87.780128,1924-06-06
"54",658640508,"Halictidae","Augochlorella","Augochlorella sp.","","GENUS","Augochlorella Sandhouse, 1937","Augochlorella striata","Ohio",NA,41.4489,-82.7079,1924-06-15
"55",767109992,"Apidae","Bombus","Bombus sp.","","GENUS","Bombus Latreille, 1802","Bombus atratus","South Dakota",NA,43.7175,-96.5025,1924-06-16
